cond arm   closes carries lifted  over  off slip held30 correct  off/lifted [95% CI]  closes->carry
A    left      88      48     34    15   14    4      1      17   0.41 [0.23,0.58]   0.55
A    right     94      48     33    14    9    4      7      19   0.27 [0.13,0.42]   0.51
D    left      53      37     24    17    3    1      3      18   0.12 [0.00,0.26]   0.70
D    right     41      15     14     5    4    3      3       6   0.29 [0.07,0.50]   0.37
E    left      71      61     48    27   19    1      2      32   0.40 [0.24,0.54]   0.86
E    right     50      19     14    10    0    2      2      11   0.00 [0.00,0.00]   0.38
G    left      77      47     44    33    5    3      3      38   0.11 [0.02,0.20]   0.61
G    right     87      48     38    17    8    6      9      19   0.21 [0.09,0.33]   0.55

A vs D left   correct  8/7  p=1.000   off  2/10 p=0.039   lifted  4/13 p=0.049
A vs D right  correct  0/11 p=0.001   off  2/6  p=0.289   lifted  5/19 p=0.007
A vs E left   correct 18/4  p=0.004   off 13/10 p=0.678   lifted 16/6  p=0.052
A vs E right  correct  5/12 p=0.143   off  0/8  p=0.008   lifted  4/18 p=0.004
A vs G left   correct 20/1  p=0.000   off  3/9  p=0.146   lifted 15/6  p=0.078
A vs G right  correct  8/9  p=1.000   off  4/6  p=0.754   lifted 12/10 p=0.832
D vs E left   correct 16/4  p=0.012   off 14/2  p=0.004   lifted 21/3  p=0.000
D vs E right  correct  7/2  p=0.180   off  0/4  p=0.125   lifted  6/5  p=1.000
D vs G left   correct 20/2  p=0.000   off  4/2  p=0.688   lifted 19/2  p=0.000
D vs G right  correct 14/3  p=0.013   off  6/3  p=0.508   lifted 22/4  p=0.001
