cond arm   closes carries lifted  over  off slip held30 correct  off/lifted [95% CI]  closes->carry
A    left      85      66     52    16   24    5     10      26   0.46 [0.30,0.61]   0.78
A    right    100      55     35    20    5    7      3      21   0.14 [0.04,0.25]   0.55
D    left      60      46     35    18   10    3      5      19   0.29 [0.11,0.45]   0.77
D    right     43      14     12     5    3    0      5       6   0.25 [0.00,0.54]   0.33
E    left      57      53     44    33    7    1      3      37   0.16 [0.07,0.25]   0.93
E    right     58      27     23     9    5    6      5      10   0.22 [0.04,0.42]   0.47
F    left      51      18     16    11    3    1      2      13   0.19 [0.00,0.40]   0.35
F    right     67      32     22    19    1    1      1      21   0.05 [0.00,0.15]   0.48
G    left      62      51     43    29    7    2      5      32   0.16 [0.05,0.28]   0.82
G    right    101      51     36    14    6    7     11      16   0.17 [0.06,0.29]   0.50

A vs D left   correct  8/11 p=0.648   off  5/13 p=0.096   lifted  8/17 p=0.108
A vs D right  correct  1/16 p=0.000   off  3/5  p=0.727   lifted  2/21 p=0.000
A vs E left   correct 18/8  p=0.076   off  5/14 p=0.064   lifted  9/14 p=0.405
A vs E right  correct  3/13 p=0.021   off  2/3  p=1.000   lifted  8/16 p=0.152
A vs F left   correct  4/13 p=0.049   off  1/13 p=0.002   lifted  2/25 p=0.000
A vs F right  correct  6/7  p=1.000   off  1/5  p=0.219   lifted  4/16 p=0.012
A vs G left   correct 14/8  p=0.286   off  3/14 p=0.013   lifted  7/13 p=0.263
A vs G right  correct  3/8  p=0.227   off  5/4  p=1.000   lifted  9/8  p=1.000
D vs E left   correct 20/3  p=0.000   off  4/5  p=1.000   lifted 14/5  p=0.064
D vs E right  correct  6/2  p=0.289   off  4/2  p=0.688   lifted 14/3  p=0.013
D vs G left   correct 15/4  p=0.019   off  3/4  p=1.000   lifted 12/5  p=0.143
D vs G right  correct 10/0  p=0.002   off  5/2  p=0.453   lifted 21/2  p=0.000
